,id,created_at,original_text,clean_text,retweet_count,hashtags,mentions,original_author
1423,1143539358080929793,2019-06-25 15:20:03+00:00,Someone got a new toy....💙🐾 #Bentley #HeLovesHisToys,:blue_heart::paw_prints Bentley HeLovesHisToys,58,#Bentley #HeLovesHisToys,<UNK>,NikkiHaley
1424,1143347633727123457,2019-06-25 02:38:12+00:00,Great read from Jon Lerner on the possibilities of the proposed new Peace Plan. We should all want to see peace in the Middle East.,great read Lerner possibility propose Peace Plan want peace Middle East,143,<UNK>,<UNK>,NikkiHaley
1425,1143328464063356928,2019-06-25 01:22:02+00:00,When asked what advice I would give to students or young professionals...,ask advice student young professional,250,<UNK>,<UNK>,NikkiHaley
1426,1142851006100672514,2019-06-23 17:44:47+00:00,Beautifully said and I agree completely. ❤️,Beautifully say agree completely red_heart_selector,291,<UNK>,<UNK>,NikkiHaley
1427,1142814818023268352,2019-06-23 15:20:59+00:00,Loved catching up with these sweet friends ❤️ @IvankaTrump #HRMcMaster #Friends #Snowmass,love catch sweet friend red_heart_selector @IvankaTrump HRMcMaster Friends snowmass,469,#HRMcMaster #Friends #Snowmass,@IvankaTrump,NikkiHaley
1428,1142186863291092992,2019-06-21 21:45:43+00:00,Bentley is styling today as we go into the weekend! #HappyFriday #Bentley 💙🐾,Bentley style today weekend HappyFriday Bentley blue_heart::paw_print,106,#HappyFriday #Bentley,<UNK>,NikkiHaley
1429,1142140080061968384,2019-06-21 18:39:49+00:00,Always proud of @CondoleezzaRice when she calls it like it is. ❤️🇺🇸,proud @CondoleezzaRice call like red_heart_selector::united_states,3471,<UNK>,@CondoleezzaRice,NikkiHaley
1430,1142132734904524800,2019-06-21 18:10:38+00:00,Happy Anniversary! Look forward to celebrating with you guys soon. ❤️🥂🎉,happy anniversary look forward celebrate guy soon red_heart_selector::clinking_glasses::party_popper,4,<UNK>,<UNK>,NikkiHaley
1431,1142038971792396289,2019-06-21 11:58:03+00:00,#SCPride ❤️🇺🇸,SCPride red_heart_selector::united_state,29,#SCPride,<UNK>,NikkiHaley
1432,1142038792049762305,2019-06-21 11:57:20+00:00,Who in the world are his advisors? At what point does he think another run will have a different response. He does not represent our Republican Party.,world advisor point think different response represent Republican Party,3275,<UNK>,<UNK>,NikkiHaley
1433,1141874160181948416,2019-06-21 01:03:09+00:00,Do you think it would be too distracting if I started wearing this ring around? #GoTigers #NationalChampions,think distract start wear ring GoTigers NationalChampions,606,#GoTigers #NationalChampions,<UNK>,NikkiHaley
1434,1141774699506151426,2019-06-20 18:27:56+00:00,Please take a second and join us today at http://www.standforamerica.com #USStrengrh 🇺🇸,second join today usstrengrh united_state,112,#USStrengrh,<UNK>,NikkiHaley
1435,1141704379470352385,2019-06-20 13:48:30+00:00,Well said @chucktodd.,say @chucktodd,460,<UNK>,@chucktodd,NikkiHaley
1436,1141408417384402944,2019-06-19 18:12:27+00:00,This has to stop. Paging all Democrats...where are you? This loose offensive language is embarrassing and offensive. You didn’t call out @IlhanMN or @RashidaTlaib. Now radio silent on @AOC. #YouHaveToPickASide #HateIsHate,stop page Democrats loose offensive language embarrassing offensive @IlhanMN @RashidaTlaib radio silent @AOC youhavetopickaside hateishate,6820,#YouHaveToPickASide #HateIsHate,@IlhanMN @RashidaTlaib @AOC,NikkiHaley
1437,1141075390565363713,2019-06-18 20:09:07+00:00,A great time! ❤️🇺🇸,great time red_heart_selector::united_states,49,<UNK>,<UNK>,NikkiHaley
1438,1140989456893337600,2019-06-18 14:27:39+00:00,It was time to acknowledge some truths about China so we went to South Korea and gave this speech. We all need to wake up to what China has become. Listen here: https://www.youtube.com/watch?v=gTaljIqJBc0&amp;t=1s,time acknowledge truth China go South Korea give speech need wake China listen,193,<UNK>,<UNK>,NikkiHaley
1439,1140597199132352512,2019-06-17 12:28:58+00:00,❤️❤️❤️,red_heart_selector::red_heart_selector::red_heart_selector,127,<UNK>,<UNK>,NikkiHaley
1440,1140304430597890048,2019-06-16 17:05:36+00:00,I value more now than ever the gift of our dads. Their love and support is endless and they have both taught me kindness. I love watching Michael become that same blessing for our children. Happy Father’s Day! We love you! ❤️ @WMichaelHaley,value gift dad love support endless teach kindness love watch Michael blessing child Happy Father love red_heart_selector @WMichaelHaley,218,<UNK>,@WMichaelHaley,NikkiHaley
