,id,created_at,original_text,clean_text,retweet_count,hashtags,mentions,original_author
575,1248295623322939394,2020-04-09 17:04:03+00:00,"Since our Nation’s founding, men & women across the Country have answered the call to defend & protect our liberty. Today, we honor over 500,000 American heroes who were captured while selflessly serving in the uniform of the United States. We salute you.","nation founding woman Country answer defend protect liberty today honor 500,000 american hero capture selflessly serve uniform United States salute",714,<UNK>,<UNK>,Mike_Pence
576,1248287556929806339,2020-04-09 16:32:00+00:00,We are starting to see evidence of the beginning of a stabilization which is a great credit to the American people who are practicing President @realDonaldTrump’s guidelines and following the advice of their state and local leaders.,start evidence beginning stabilization great credit american people practice President @realDonaldTrump guideline follow advice state local leader,2406,<UNK>,@realDonaldTrump,Mike_Pence
577,1248268561132466182,2020-04-09 15:16:31+00:00,"America is the strongest, most prosperous Nation in the history of the world and we are going to do whatever it takes to get our Country through this challenging time.",America strong prosperous nation history world go take country challenging time,2380,<UNK>,<UNK>,Mike_Pence
578,1248059805983551494,2020-04-09 01:27:00+00:00,Each of us has a role to pay in slowing the spread and we ask that all Americans keep following the guidelines so that we can keep our loved ones safe and save lives.,role slow spread Americans follow guideline loved one safe save life,515,<UNK>,<UNK>,Mike_Pence
579,1248058296025694210,2020-04-09 01:21:00+00:00,"To every American, thank you, we are with you. We are praying for the families who have suffered loss and we are working our hearts out to make sure our incredible health care workers have the resources they need to provide care and safely go home to their families.",American thank pray family suffer loss work heart sure incredible health care worker resource need provide care safely home family,744,<UNK>,<UNK>,Mike_Pence
580,1248057037797371904,2020-04-09 01:16:00+00:00,The American people should be proud that more than 50 flights from all over the world are coming to the US with millions of supplies aboard. Working through @fema we are directing those resources to the communities most in need.,american people proud flight world come million supply aboard work @fema direct resource community need,367,<UNK>,@fema,Mike_Pence
581,1248055535989121024,2020-04-09 01:10:02+00:00,"Today, we received the good news that the first delivery of newly manufactured ventilators from @generalelectric and @HamiltonMedical arrived at the Strategic National Stockpile.",today receive good news delivery newly manufacture ventilator @generalelectric @hamiltonmedical arrive Strategic National Stockpile,334,<UNK>,@generalelectric @HamiltonMedical,Mike_Pence
582,1248055305709158405,2020-04-09 01:09:07+00:00,At President @realDonaldTrump’s direction we hosted conference calls with Republican and Democrat members of the House of Representatives. We express our appreciation to @SpeakerPelosi and @GOPLeader Kevin McCarthy for convening these forums.,President @realDonaldTrump direction host conference call republican Democrat member House Representatives express appreciation @SpeakerPelosi @gopleader Kevin McCarthy convene forum,610,<UNK>,@realDonaldTrump @SpeakerPelosi @GOPLeader,Mike_Pence
583,1247994272118341633,2020-04-08 21:06:35+00:00,"The @WhiteHouse Coronavirus Task Force had a conference call with the @HouseDemocrats Caucus. We provided updates on our efforts across the Country to increase testing, give States the resources they need and support the American people during this time. #AmericaWorksTogether",@whitehouse Coronavirus Task Force conference @HouseDemocrats Caucus provide update effort Country increase testing state resource need support american people time AmericaWorksTogether,1021,#AmericaWorksTogether,@WhiteHouse @HouseDemocrats,Mike_Pence
584,1247988708025999360,2020-04-08 20:44:29+00:00,"Productive conference call with the @HouseGOP Conference &amp; the @WhiteHouse Coronavirus Task Force. We discussed testing efforts, our whole-of-America approach to combatting this virus &amp; what we are doing to protect the health of the American people. #AmericaWorksTogether",productive conference @HouseGOP Conference @whitehouse Coronavirus Task Force discuss testing effort America approach combat virus protect health american people AmericaWorksTogether,497,#AmericaWorksTogether,@HouseGOP @WhiteHouse,Mike_Pence
585,1247984649542000645,2020-04-08 20:28:21+00:00,Karen and I wish everyone celebrating around the United States and the world a blessed Passover. Chag Sameach!,Karen wish celebrate United States world bless Passover Chag Sameach,1698,<UNK>,<UNK>,Mike_Pence
586,1247929003505266689,2020-04-08 16:47:14+00:00,Thank you the amazing men and women working on the front lines across the Country. We are truly grateful for your commitment and service to the health of the American people as we fight the Coronavirus together as Nation.,thank amazing woman work line Country truly grateful commitment service health american people fight Coronavirus Nation,2199,<UNK>,<UNK>,Mike_Pence
587,1247680853695741953,2020-04-08 00:21:10+00:00,Thank you to teachers across the Country for continuing to educate America’s next generation. We are grateful for your commitment to distance learning and keeping kids on the right path during this time.,thank teacher Country continue educate America generation grateful commitment distance learning keep kid right path time,1008,<UNK>,<UNK>,Mike_Pence
588,1247680515236298758,2020-04-08 00:19:50+00:00,"By the end today, 3,000 military medical personnel will be on the ground in the greater New York City area. We salute these extraordinary patriotic Americans who have stepped forward to bring real relief to our health care workers.","today 3,000 military medical personnel ground great York City area salute extraordinary patriotic Americans step forward bring real relief health care worker",536,<UNK>,<UNK>,Mike_Pence
589,1247680337204871174,2020-04-08 00:19:07+00:00,"Today, I spoke to over 500 small business owners as well as food supply industry leaders. From farmers & ranchers to distributors & truckers, Americans are keeping food on the table for families around the Nation. Because of you, Americans have one less worry & we thank you.",today speak small business owner food supply industry leader farmer ranchers distributor trucker Americans keep food table family Nation Americans worry thank,1518,<UNK>,<UNK>,Mike_Pence
590,1247677169976971266,2020-04-08 00:06:32+00:00,"Through following the advice of your state and local leaders and putting into practice President @realDonaldTrump’s guidance, know that you’re making a difference America. We’re all in this together.",follow advice state local leader put practice President @realDonaldTrump guidance know make difference America,1268,<UNK>,@realDonaldTrump,Mike_Pence
591,1247620316110761989,2020-04-07 20:20:37+00:00,#AmericaWorksTogether,AmericaWorksTogether,560,#AmericaWorksTogether,<UNK>,Mike_Pence
592,1247613124997517313,2020-04-07 19:52:03+00:00,Productive call with @SecretarySonny &amp; CEOs from the meat &amp; grain industry. We'll continue to work through the challenges the Coronavirus brings to the food supply chain. Thank you to food supply workers everywhere for continuing to ensure Americans have food on their tables.,productive @SecretarySonny ceo meat grain industry continue work challenge Coronavirus bring food supply chain thank food supply worker continue ensure Americans food table,646,<UNK>,@SecretarySonny,Mike_Pence
593,1247610842058829827,2020-04-07 19:42:58+00:00,Held a call with @SBAJovita &amp; the @NFIB to provide an update on the efforts of the Coronavirus Task Force. Over 71B has been disbursed from the #PaycheckProtectionProgram &amp; we’re working to ensure that small businesses have the support they need as we face this crisis together.,hold @SBAJovita @NFIB provide update effort Coronavirus Task Force disburse PaycheckProtectionProgram work ensure small business support need face crisis,395,#PaycheckProtectionProgram,@SBAJovita @NFIB,Mike_Pence
594,1247598912048939009,2020-04-07 18:55:34+00:00,To all of our amazing health care workers: There is a chorus of prayer going up every day for all of you. With your continued courageous service and with God’s help we will get through this together.,amazing health care worker chorus prayer go continue courageous service help,1963,<UNK>,<UNK>,Mike_Pence
595,1247313003546058752,2020-04-06 23:59:28+00:00,"By this evening, there will be 2,179 medical military personnel in New York City ready to assist. We are here for you and we will continue to work with states so they have the resources they need to combat the Coronavirus.","evening 2,179 medical military personnel York City ready assist continue work state resource need combat Coronavirus",453,<UNK>,<UNK>,Mike_Pence
596,1247312655754448897,2020-04-06 23:58:05+00:00,"As a result of the American people embracing social distancing, following President @realDonaldTrump’s guidelines, and putting into practice the advice of state and local leaders, we are seeing remarkable progress in many states.",result american people embrace social distancing follow President @realDonaldTrump guideline put practice advice state local leader see remarkable progress state,858,<UNK>,@realDonaldTrump,Mike_Pence
597,1247253109874872322,2020-04-06 20:01:28+00:00,"Thank you, @Airbnb. We are grateful to you for giving those taking care of the people of our great Nation a safe and clean place to stay.",thank @airbnb grateful give take care people great nation safe clean place stay,470,<UNK>,@Airbnb,Mike_Pence
